month,revenue,orders,customers,aov,revenue_growth,order_growth,aov_growth,customer_growth
2009-12,683504.01,1512,955,452.05291666666665,,,,
2010-01,555802.672,1011,720,549.7553630069239,-18.68333413288973,-33.13492063492064,21.61305518404624,-24.607329842931936
2010-02,504558.956,1104,772,457.02803985507245,-9.219767838755555,9.198813056379818,-16.86701565668648,7.222222222222219
2010-03,696978.471,1524,1057,457.33495472440944,38.13618066071947,38.043478260869556,0.06715449437946219,36.917098445595855
2010-04,591982.002,1329,942,445.4341625282167,-15.064521124928698,-12.795275590551181,-2.6022048114306418,-10.879848628193
2010-05,597833.38,1377,966,434.1564124909223,0.9884384964798265,3.6117381489841893,-2.5318556559029037,2.547770700636942
2010-06,636371.13,1497,1041,425.0976152304609,6.446235906064657,8.714596949891074,-2.0865284952230945,7.763975155279512
2010-07,589736.17,1381,928,427.03560463432297,-7.328264561593167,-7.748830995323985,0.4558927960137904,-10.854947166186356
2010-08,602224.6,1293,911,465.7576179427687,2.117629990373482,-6.372194062273717,9.067631103407404,-1.8318965517241326
2010-09,829013.951,1689,1145,490.8312320899941,37.65859963209739,30.626450116009284,5.383403981232648,25.686059275521412
2010-10,1033112.01,2133,1497,484.34693389592127,24.61937567562118,26.28774422735347,-1.321085083861151,30.742358078602617
2010-11,1166460.022,2587,1607,450.8929346733669,12.90741088180749,21.284575714955455,-6.9070323112116805,7.348029392117561
2010-12,570422.73,1400,885,407.44480714285714,-51.09796141817537,-45.883262466177044,-9.636018706299797,-44.92843808338519
2011-01,568101.31,987,741,575.58390070922,-0.40696484868334437,-29.500000000000004,41.266716526690296,-16.271186440677965
2011-02,446084.92,997,758,447.4272016048144,-21.477927942113006,1.0131712259371817,-22.265511413104868,2.294197031039147
2011-03,594081.76,1321,974,449.72124148372444,33.17683099442144,32.4974924774323,0.5127180177427526,28.49604221635884
2011-04,468374.331,1149,856,407.63649347258485,-21.15995431335915,-13.02043906131718,-9.357963140076109,-12.114989733059545
2011-05,677355.15,1555,1056,435.59816720257237,44.618333065737545,35.335073977371636,6.859462824779716,23.364485981308402
2011-06,660046.05,1393,991,473.8306173725772,-2.5553950538354964,-10.418006430868164,8.776999778381779,-6.155303030303028
2011-07,598962.901,1331,949,450.0096927122464,-9.254376872643977,-4.4508255563532,-5.027308026741584,-4.238143289606455
2011-08,644051.04,1280,935,503.16487500000005,7.527701452748259,-3.831705484598047,11.812008307506193,-1.475237091675452
2011-09,950690.202,1755,1266,541.7038188034188,47.611003314271485,37.109375,7.659307260551285,35.401069518716575
2011-10,1035642.45,1929,1364,536.8804821150856,8.935849745930158,9.914529914529924,-0.8904010865176559,7.740916271721954
2011-11,1156205.61,2657,1664,435.15453895370723,11.641388396159336,37.73976153447383,-18.947595703352903,21.994134897360706
2011-12,517208.44,778,615,664.7923393316196,-55.2667418730134,-70.71885585246518,52.77155121260078,-63.04086538461539
